id,name,parent_geography_id
100,BARRIE,11
101,BELLEVILLE,11
102,BRAMPTON,11
103,BRANT,11
104,BRANTFORD,11
105,BROCKVILLE,11
106,BURLINGTON,11
107,CAMBRIDGE,11
108,CLARENCE-ROCKLAND,11
109,CORNWALL,11
110,DRYDEN,11
111,ELLIOT LAKE,11
112,GREATER SUDBURY,11
113,GUELPH,11
114,HALDIMAND COUNTY,11
115,HAMILTON,11
116,KAWARTHA LAKES,11
117,KENORA,11
118,KINGSTON,11
119,KITCHENER,11
120,LONDON,11
121,MARKHAM,11
122,MISSISSAUGA,11
123,NIAGARA FALLS,11
124,NORFOLK COUNTY,11
125,NORTH BAY,11
126,ORILLIA,11
127,OSHAWA,11
128,OTTAWA,11
129,OWEN SOUND,11
130,PEMBROKE,11
131,PETERBOROUGH,11
132,PICKERING,11
133,PORT COLBORNE,11
134,PRINCE EDWARD COUNTY,11
135,QUINTE WEST,11
136,RICHMOND,11
137,SARNIA,11
138,SAULT STE. MARIE,11
139,ST. CATARINES,11
140,ST. THOMAS,11
141,STRATFORD,11
142,TEMISKAMING SHORES,11
143,THOROLD,11
144,THUNDER BAY,11
145,TIMMINS,11
146,TORONTO,11
147,VAUGHAN,11
148,WATERLOO,11
149,WELLAND,11
150,WINDSOR,11
151,WOODSTOCK,11
200,ASBESTOS,10
201,BAIE-COMEAU,10
202,BELOEIL,10
203,CAP-DE-LA-MADELEINE,10
204,CHAMBLY,10
205,CHARLESBOURG,10
206,CHÂTEAUGUAY,10
207,CHIBOUGAMAU,10
208,CÔTE-SAINT-LUC,10
209,DORVAL,10
210,GASPÉ,10
211,GATINEAU,10
212,GRANBY,10
213,HAVRE-SAINT-PIERRE,10
214,HULL,10
215,JONQUIÈRE,10
216,KUUJJUAQ,10
217,LA SALLE,10
218,LA TUQUE,10
219,LACHINE,10
220,LAVAL,10
221,LÉVIS,10
222,LONGUEUIL,10
223,MAGOG,10
224,MATANE,10
225,MONTREAL,10
226,MONTRÉAL-NORD,10
227,PERCÉ,10
228,PORT-CARTIER,10
229,QUEBEC,10
230,RIMOUSKI,10
231,ROUYN-NORANDA,10
232,SAGUENAY,10
233,SAINT-EUSTACHE,10
234,SAINT-HUBERT,10
235,SAINTE-ANNE-DE-BEAUPRÉ,10
236,SAINTE-FOY,10
237,SAINTE-THÉRÈSE,10
238,SEPT-ÎLES,10
239,SHERBROOKE,10
240,SOREL-TRACY,10
241,TROIS-RIVIÈRES,10
242,VAL-D’OR,10
243,WASKAGANISH,10
1000,AHUNTSIC-CARTIERVILLE,225
1001,ANJOU,225
1002,CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE,225
1003,LASALLE,225
1004,LACHINE,225
1005,LE PLATEAU-MONT-ROYAL,225
1006,LE SUD-OUEST,225
1007,L’ÎLE-BIZARD–SAINTE-GENEVIÈVE,225
1008,MERCIER–HOCHELAGA-MAISONNEUVE,225
1009,MONTRÉAL-NORD,225
1010,OUTREMONT,225
1011,PIERREFONDS-ROXBORO,225
1012,RIVIÈRE-DES-PRAIRIES–POINTE-AUX-TREMBLES,225
1013,ROSEMONT–LA PETITE-PATRIE,225
1014,SAINT-LAURENT,225
1015,SAINT-LÉONARD,225
1016,VERDUN,225
1017,VILLE-MARIE,225
1018,VILLERAY–SAINT-MICHEL–PARC-EXTENSION,225
