AHUNTSIC-CARTIERVILLE, MONTREAL
ANJOU, MONTREAL
CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE, MONTREAL
LASALLE, MONTREAL
LACHINE, MONTREAL
LE PLATEAU-MONT-ROYAL, MONTREAL
LE SUD-OUEST, MONTREAL
L’ÎLE-BIZARD–SAINTE-GENEVIÈVE, MONTREAL
MERCIER–HOCHELAGA-MAISONNEUVE, MONTREAL
MONTRÉAL-NORD, MONTREAL
OUTREMONT, MONTREAL
PIERREFONDS-ROXBORO, MONTREAL
RIVIÈRE-DES-PRAIRIES–POINTE-AUX-TREMBLES, MONTREAL
ROSEMONT–LA PETITE-PATRIE, MONTREAL
SAINT-LAURENT, MONTREAL
SAINT-LÉONARD, MONTREAL
VERDUN, MONTREAL
VILLE-MARIE, MONTREAL
VILLERAY–SAINT-MICHEL–PARC-EXTENSION, MONTREAL
